,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,salary_indicated,num_words_company_profile
6334,US,False,False,False,Full-time,,,,,0,32
6335,GR,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,,0,163
6336,NZ,False,True,True,Full-time,Mid-Senior level,Higher Education,Manufacturing,Engineering,1,127
6337,NZ,False,True,False,Full-time,Mid-Senior level,Higher Education,Manufacturing,Project Management,1,127
6338,CA,False,True,False,Contract,,Higher Education,Education,,0,10
6339,PH,False,True,False,Full-time,,Highest Education,Hospitality,Information Technology,0,71
6340,IN,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Design,0,33
6341,AR,False,True,False,,,,,,0,41
6342,US,False,True,False,Full-time,Associate,,Government and Legislation,Legal,0,48
6343,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,247
6344,US,False,True,True,Full-time,Mid-Senior level,Normal education,Energy,Engineering,1,51
6345,GB,False,True,False,Temporary,Internship,Certification,Computer and Technology,Marketing,0,190
6346,US,False,False,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,1,132
6347,US,False,True,False,Full-time,,,Computer and Technology,Engineering,0,77
6348,ES,False,True,True,,,,Computer and Technology,,0,88
6349,US,False,True,False,Full-time,,Higher Education,Healthcare,Accounting/Auditing,0,320
6350,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
6351,US,False,True,True,Full-time,,,,Customer Service,0,184
6352,US,False,True,False,,,,Construction,,0,282
6353,US,False,True,True,Full-time,,,Computer and Technology,,0,86
6354,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Finance and Economic,Business Analyst,0,68
6355,US,False,True,False,,,,Entertainment,,0,144
6356,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Advertising and marketing,Management,1,125
6357,US,False,True,True,Full-time,Mid-Senior level,Normal education,Construction,,0,144
6358,US,False,True,False,Part-time,Entry level,Normal education,Finance and Economic,Customer Service,0,86
6359,US,True,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,1,78
6360,GB,False,True,True,,Not Applicable,Normal education,,Administrative,0,131
6361,GB,False,True,True,Full-time,Internship,Normal education,,,0,131
6362,US,False,True,False,Full-time,,,Education,Information Technology,1,146
6363,US,False,True,True,Contract,Associate,Higher Education,Computer and Technology,Engineering,0,163
6364,US,False,False,False,Full-time,,,Advertising and marketing,,0,32
6365,US,True,True,True,Full-time,Director,,Computer and Technology,Information Technology,0,82
6366,US,False,True,True,Full-time,Entry level,Normal education,Non-Profit Organisation,Health Care Provider,0,127
6367,US,False,True,True,Full-time,Associate,Unspecified,Healthcare,,1,136
6368,GB,False,True,True,Full-time,Associate,,Fashion,Customer Service,0,34
6369,US,False,True,False,Full-time,Director,Higher Education,Computer and Technology,Sales,0,110
6370,,False,True,False,,,,,,0,218
6371,GR,False,True,True,Contract,Associate,Normal education,Computer and Technology,Engineering,1,137
6372,US,False,True,True,Part-time,,Higher Education,Education,Education,0,101
6373,GB,False,True,False,Full-time,Associate,,Finance and Economic,Marketing,1,97
6374,US,False,True,False,,,,Fashion,,0,91
6375,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Energy,Marketing,0,112
6376,US,False,True,False,Full-time,Mid-Senior level,Highest Education,Food and Beverage,Sales,0,104
6377,US,False,True,True,,,,Healthcare,,0,236
6378,US,False,True,False,Full-time,Mid-Senior level,,Manufacturing,,0,124
6379,US,False,True,False,Full-time,Entry level,,Construction,Sales,0,320
6380,US,False,True,False,Full-time,,,Government and Legislation,Sales,0,84
6381,US,False,True,False,Part-time,,,Advertising and marketing,,1,112
6382,GR,False,True,True,,,,Computer and Technology,,0,71
6383,GR,False,True,True,,,,Computer and Technology,,0,89
6384,US,False,True,True,Contract,,Higher Education,Education,,0,10
6385,US,False,True,True,Full-time,,Higher Education,Healthcare,Administrative,0,157
6386,NL,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Human Resources,0,83
6387,US,False,True,False,,,,,,0,70
6388,US,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Sales,1,222
6389,US,False,True,False,Full-time,Entry level,Normal education,Healthcare,Administrative,0,86
6390,US,False,True,True,Contract,,Higher Education,Education,,0,10
6391,SG,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Product Management,1,87
6392,US,False,True,True,Temporary,,,Education,,0,215
6393,US,False,False,False,Full-time,,,,,0,32
6394,US,False,True,False,,,,,,0,123
6395,NZ,False,True,False,Full-time,Director,Higher Education,Manufacturing,Engineering,1,127
6396,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Transportation,Marketing,1,78
6397,US,False,False,False,Full-time,,,,,0,32
6398,US,False,False,False,Full-time,,,,,0,32
6399,US,False,True,True,Temporary,Associate,Unspecified,Finance and Economic,Administrative,1,127
6400,EE,False,True,True,,,,Finance and Economic,,0,53
6401,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Production,0,126
6402,GR,False,True,True,Full-time,Mid-Senior level,,Telecommunication,Engineering,0,392
6403,,False,True,True,,,,,,0,48
6404,US,False,True,False,Full-time,Mid-Senior level,Higher Education,HR and Consulting,Design,0,182
6405,IE,False,True,True,Full-time,Entry level,Higher Education,Computer and Technology,Information Technology,1,270
6406,US,False,True,False,Temporary,Internship,,Computer and Technology,,0,125
6407,GB,False,True,False,,,,Fashion,,0,131
6408,US,False,True,True,Full-time,Mid-Senior level,Normal education,Energy,Engineering,1,51
6409,GB,False,True,False,Full-time,Director,,Media and News,,0,83
6410,US,False,True,True,Full-time,Mid-Senior level,,Finance and Economic,Finance,0,100
6411,US,False,True,True,Full-time,Entry level,,Agriculture,Science,0,174
6412,US,False,True,True,Full-time,Associate,,Computer and Technology,Strategy/Planning,0,116
6413,US,False,True,True,Full-time,Entry level,Unspecified,Advertising and marketing,Marketing,0,94
6414,US,False,True,True,,,,,,0,74
6415,US,False,True,False,Full-time,Entry level,,Healthcare,Sales,0,320
6416,US,False,True,True,Contract,,Higher Education,Education,,0,10
6417,PH,False,True,False,Full-time,,,,,0,248
6418,GR,False,True,False,Full-time,Mid-Senior level,,Education,,0,140
6419,GB,False,True,True,Full-time,Not Applicable,Unspecified,Healthcare,Health Care Provider,0,120
6420,IL,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Marketing,0,73
6421,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Customer Service,1,53
6422,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
6423,US,False,True,True,Full-time,Entry level,Higher Education,Computer and Technology,Information Technology,0,25
6424,US,False,True,False,Full-time,Entry level,Unspecified,Hospitality,Customer Service,0,235
6425,US,False,True,False,Full-time,Entry level,Normal education,Advertising and marketing,Marketing,1,184
6426,GB,False,True,True,Full-time,Not Applicable,Normal education,Manufacturing,,0,131
6427,US,True,False,False,Full-time,Mid-Senior level,,Computer and Technology,Information Technology,0,118
6428,US,False,True,True,Part-time,Entry level,Normal education,Food and Beverage,Quality Assurance,1,264
6429,US,False,True,False,Full-time,Mid-Senior level,,Entertainment,Engineering,0,146
6430,US,False,True,True,Full-time,Not Applicable,Normal education,Hospitality,Customer Service,0,184
6431,US,False,True,True,Contract,,Higher Education,Education,,0,10
6432,AE,False,True,True,,,,Finance and Economic,,0,55
6433,CA,False,True,True,Full-time,,,Computer and Technology,Information Technology,1,18
6434,US,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Engineering,0,72
6435,US,False,True,True,Full-time,Entry level,Normal education,Manufacturing,Production,0,199
6436,US,False,True,True,Full-time,Not Applicable,Normal education,Transportation,,1,73
6437,DE,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,1,20
6438,US,False,True,True,,,,Manufacturing,Sales,0,243
6439,,False,True,False,,,,Finance and Economic,Marketing,0,53
6440,GB,True,True,True,Contract,,,Computer and Technology,Writing/Editing,0,82
6441,US,False,True,True,Full-time,,,Computer and Technology,Information Technology,0,330
6442,US,False,True,False,Other,Internship,,,Marketing,0,141
6443,US,False,False,True,,,,,,0,40
6444,US,False,False,False,Full-time,,,,Information Technology,0,32
6445,US,True,True,False,Full-time,Entry level,Normal education,Telecommunication,Customer Service,1,86
6446,US,False,True,True,Contract,,Higher Education,Education,,0,10
6447,GB,False,True,True,,Not Applicable,Normal education,,,0,131
6448,GB,False,True,False,Full-time,Entry level,Certification,Computer and Technology,Design,1,29
6449,CA,False,True,True,Contract,,Higher Education,Education,,0,10
6450,SE,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,Information Technology,0,152
6451,US,False,True,False,Full-time,Associate,Higher Education,Hospitality,Sales,0,68
6452,VN,False,True,True,Full-time,Mid-Senior level,Highest Education,,Accounting/Auditing,0,392
6453,US,False,True,False,Full-time,,,Computer and Technology,,0,69
6454,CA,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,72
6455,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,1,222
6456,US,False,True,True,Full-time,Associate,Higher Education,Healthcare,General Business,0,151
6457,US,False,True,True,Temporary,Internship,,Computer and Technology,Engineering,0,154
6458,US,False,True,False,Full-time,Associate,Normal education,Hospitality,Customer Service,0,86
6459,GR,False,True,True,,,,,,0,75
6460,GB,False,True,True,Full-time,Not Applicable,Normal education,HR and Consulting,Sales,0,131
6461,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,350
6462,US,False,True,False,Full-time,Associate,Higher Education,HR and Consulting,Marketing,0,86
6463,US,False,True,False,,,,,,0,13
6464,GB,False,True,False,Full-time,Entry level,Higher Education,Finance and Economic,Art/Creative,1,130
6465,IN,False,True,False,Full-time,Entry level,Higher Education,Computer and Technology,Information Technology,1,182
6466,GB,False,True,False,Full-time,,,Computer and Technology,,0,264
6467,GB,False,True,True,,,,Fashion,,0,73
6468,US,False,True,True,Contract,,Higher Education,Education,,0,10
6469,IN,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,155
6470,GB,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Project Management,1,180
6471,IN,False,True,True,Full-time,Not Applicable,Higher Education,Computer and Technology,Marketing,1,413
6472,US,False,True,True,Full-time,Associate,,Food and Beverage,Customer Service,0,119
6473,GR,False,True,True,Full-time,Not Applicable,Highest Education,Computer and Technology,,0,192
6474,US,False,True,False,Contract,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,136
6475,CA,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,129
6476,US,False,True,True,Full-time,Entry level,Normal education,Finance and Economic,,1,61
6477,CA,False,True,True,Full-time,Not Applicable,,HR and Consulting,,0,50
6478,US,False,False,False,Full-time,,,,,0,32
6479,GB,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Engineering,0,104
6480,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,0,100
6481,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Entertainment,Marketing,0,115
6482,US,False,True,False,Full-time,Entry level,Normal education,Hospitality,Customer Service,0,86
6483,US,False,False,False,Full-time,,,Computer and Technology,,0,32
6484,US,False,True,True,,,,Manufacturing,Other,0,243
6485,US,False,True,False,Full-time,Executive,Higher Education,Finance and Economic,Business Development,0,68
6486,NL,False,True,True,Full-time,Associate,Higher Education,Advertising and marketing,Information Technology,1,58
6487,US,False,True,True,Full-time,Associate,Unspecified,Healthcare,Administrative,1,207
6488,US,False,True,True,Full-time,Mid-Senior level,Unspecified,Computer and Technology,Engineering,0,140
6489,DE,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,1,20
6490,,False,True,False,,,,,,0,45
6491,IN,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,155
6492,BG,True,True,True,Full-time,Associate,Unspecified,Computer and Technology,Information Technology,0,104
6493,AU,False,True,False,Full-time,,,Healthcare,,0,328
6494,US,False,True,False,Full-time,Entry level,Higher Education,Hospitality,Administrative,0,70
6495,GB,False,True,False,,,,Fashion,,0,201
6496,GB,False,True,True,Contract,Mid-Senior level,Higher Education,Computer and Technology,Marketing,0,178
6497,NL,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,83
6498,US,False,False,False,Full-time,,,Media and News,Customer Service,0,105
6499,IT,False,True,False,Full-time,Entry level,,HR and Consulting,Marketing,1,133
6500,US,False,True,False,Full-time,Not Applicable,Higher Education,Advertising and marketing,Project Management,0,112
6501,,False,True,False,,,,,,0,218
6502,GB,False,True,False,,,,Transportation,,0,167
6503,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,220
6504,US,False,True,False,Full-time,Director,Higher Education,Advertising and marketing,Sales,0,350
6505,NZ,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,216
6506,US,False,True,True,Full-time,Entry level,Higher Education,Advertising and marketing,Customer Service,0,99
6507,US,False,True,False,Full-time,Entry level,Normal education,Hospitality,Other,1,78
6508,US,False,False,False,,,,Media and News,,0,105
6509,US,False,True,False,Full-time,Entry level,Normal education,Finance and Economic,Customer Service,0,86
6510,US,False,True,True,Full-time,Not Applicable,Unspecified,Computer and Technology,Design,0,112
6511,US,False,True,True,Full-time,Mid-Senior level,,Fashion,,0,293
6512,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Consulting,0,178
6513,US,False,True,True,Full-time,,,,,0,20
6514,US,False,True,True,Part-time,Entry level,Higher Education,,,0,167
6515,,False,True,True,,,,,,0,48
6516,PT,False,True,True,Full-time,Internship,,Fashion,Engineering,0,378
6517,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
6518,US,False,True,True,Full-time,,,Energy,Engineering,0,141
6519,US,False,True,True,Full-time,,,,,0,112
6520,US,False,True,True,Full-time,Director,Higher Education,Entertainment,Human Resources,0,92
6521,US,False,True,False,Full-time,Entry level,Unspecified,Advertising and marketing,Marketing,0,235
6522,GB,False,True,False,Part-time,Internship,Higher Education,Computer and Technology,Data Analyst,0,52
6523,US,False,True,True,Full-time,Mid-Senior level,Normal education,Construction,Sales,1,175
6524,US,False,True,True,Contract,,Certification,Healthcare,Health Care Provider,0,146
6525,GB,False,True,False,Contract,Not Applicable,Unspecified,Hospitality,Project Management,1,163
6526,US,False,True,False,Part-time,Entry level,Higher Education,Healthcare,Education,0,96
6527,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Healthcare,Project Management,0,137
6528,US,False,True,False,Full-time,Director,,Computer and Technology,Sales,0,86
6529,US,False,True,True,Other,Not Applicable,,,,0,15
6530,AU,False,True,True,Full-time,Mid-Senior level,Higher Education,Advertising and marketing,Business Development,0,63
6531,GB,False,True,True,,,,Fashion,,0,82
6532,US,False,True,False,Full-time,,,Computer and Technology,Administrative,0,73
6533,GB,True,True,False,Contract,Mid-Senior level,Unspecified,Computer and Technology,Information Technology,0,226
6534,US,False,True,True,Contract,,Higher Education,Education,,0,10
6535,AE,False,True,False,Full-time,Associate,Highest Education,Healthcare,Health Care Provider,0,84
6536,US,False,True,False,Contract,,Higher Education,Education,,0,10
6537,US,False,False,False,Full-time,,,,,0,32
6538,GB,False,True,True,Full-time,,,Computer and Technology,Art/Creative,0,49
6539,GR,False,True,True,Full-time,,,,,0,45
6540,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Sales,1,73
6541,US,False,True,False,,,,Entertainment,,0,212
6542,US,False,False,False,Full-time,,,,,0,32
6543,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,0,110
6544,US,False,True,True,Full-time,Associate,Unspecified,Advertising and marketing,Sales,0,207
6545,US,False,True,True,,,,Hospitality,,0,135
6546,EE,False,True,False,,,,Finance and Economic,,0,53
6547,DE,False,True,True,Other,,,Education,,0,107
6548,GR,False,True,True,Full-time,,,Advertising and marketing,,0,49
6549,US,False,True,True,,,,Healthcare,,0,319
6550,GB,False,True,True,Contract,,,,,0,58
6551,DE,False,True,True,Full-time,Associate,Highest Education,Education,Engineering,0,107
6552,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Healthcare,Sales,0,111
6553,US,False,True,False,,,,,,0,192
6554,GR,False,True,True,,,,,,0,70
6555,US,False,True,False,Full-time,Associate,Higher Education,Finance and Economic,Sales,0,68
6556,US,False,True,True,Contract,,Higher Education,Education,,0,10
6557,US,False,False,True,,,,,,0,18
6558,US,False,True,True,Full-time,Associate,Higher Education,Finance and Economic,Engineering,0,87
6559,GR,False,True,True,Full-time,Mid-Senior level,Higher Education,Telecommunication,Sales,0,392
6560,GB,False,True,False,Full-time,Associate,Unspecified,Finance and Economic,Human Resources,0,105
6561,US,False,True,True,Full-time,Director,Higher Education,Entertainment,Management,0,151
6562,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,1,71
6563,GR,False,False,True,,,,,,0,14
6564,US,False,False,False,Full-time,,,,,0,32
6565,US,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,Engineering,0,77
6566,CA,False,True,False,,Associate,Normal education,Hospitality,,0,134
6567,US,False,False,True,,,,Construction,,0,213
6568,US,False,True,True,Part-time,Entry level,Normal education,Entertainment,,0,109
6569,US,True,True,True,Full-time,Associate,Normal education,Computer and Technology,Sales,0,43
6570,GR,False,True,True,,,,,,0,64
6571,EG,False,True,False,Full-time,Associate,Higher Education,Telecommunication,Information Technology,0,141
6572,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,16
6573,GB,False,True,True,Full-time,Entry level,Unspecified,Finance and Economic,Engineering,0,49
6574,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Advertising and marketing,Sales,1,207
6575,GB,False,True,False,Full-time,,,Computer and Technology,Project Management,0,53
6576,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Transportation,Engineering,0,36
6577,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Finance and Economic,Strategy/Planning,0,148
6578,US,False,True,True,Contract,,Higher Education,Education,,0,10
6579,US,False,True,False,Full-time,Director,,Fashion,Information Technology,1,222
6580,US,False,True,True,Contract,Mid-Senior level,Higher Education,Finance and Economic,Business Analyst,0,81
6581,GB,False,True,False,,,,Fashion,,0,201
6582,US,False,True,True,,,,,,0,141
6583,US,False,True,True,,,,Entertainment,,0,111
6584,US,False,True,False,Part-time,Entry level,Normal education,Hospitality,Customer Service,0,86
6585,US,True,True,True,Full-time,Director,Higher Education,Computer and Technology,Engineering,0,48
6586,US,False,True,False,Full-time,Associate,Higher Education,Food and Beverage,Manufacturing,1,264
6587,NZ,False,True,False,Full-time,Mid-Senior level,Vocational,Manufacturing,Engineering,1,127
6588,FR,False,True,True,,Internship,Unspecified,Computer and Technology,,0,31
6589,GB,False,True,False,Part-time,Associate,Higher Education,Computer and Technology,Administrative,0,163
6590,US,False,True,False,Full-time,Entry level,Normal education,Finance and Economic,Customer Service,0,86
6591,US,False,True,True,,,,Computer and Technology,,0,158
6592,US,False,True,False,Full-time,,,Construction,,0,110
6593,US,False,True,False,Full-time,Associate,Higher Education,Finance and Economic,,0,68
6594,US,False,True,False,Full-time,,Higher Education,Transportation,Engineering,1,16
6595,US,False,True,True,Other,Entry level,Normal education,Non-Profit Organisation,Customer Service,0,64
6596,US,False,True,False,Full-time,Entry level,Higher Education,Computer and Technology,Customer Service,1,100
6597,GB,False,True,True,,,,,Engineering,0,158
6598,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Hospitality,Strategy/Planning,0,130
6599,GB,False,True,True,Full-time,Director,Unspecified,Fashion,Design,0,73
6600,US,False,True,True,Other,,,Healthcare,Health Care Provider,0,121
6601,GB,False,True,True,,,,,,0,117
6602,US,False,True,False,Full-time,Associate,Higher Education,Finance and Economic,Accounting/Auditing,0,24
6603,US,False,True,True,,,,Manufacturing,Sales,0,243
6604,US,False,True,False,,,,,,0,192
6605,US,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Sales,0,85
6606,US,False,True,False,Full-time,,Higher Education,Healthcare,Financial Analyst,0,320
6607,GB,False,True,True,Full-time,Internship,Normal education,,,0,131
6608,GB,False,True,True,Full-time,,Vocational,Manufacturing,Engineering,0,81
6609,US,False,True,True,Full-time,Not Applicable,Normal education,Manufacturing,Customer Service,1,122
6610,US,False,True,True,Contract,,,,,0,63
6611,US,False,True,True,Full-time,Associate,Higher Education,Fashion,,0,220
6612,US,False,True,False,Full-time,Entry level,Normal education,Construction,,0,96
6613,US,False,True,False,,,,Fashion,,0,90
6614,US,False,True,True,Contract,,Higher Education,Education,Education,0,10
6615,US,False,True,False,,,,,,0,192
6616,US,False,True,True,Contract,,Higher Education,Education,,0,10
6617,US,False,True,False,Full-time,,Highest Education,Healthcare,Health Care Provider,0,30
6618,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Design,0,226
6619,GB,True,True,True,Full-time,Not Applicable,Unspecified,Computer and Technology,Customer Service,1,116
6620,GB,False,True,False,,,,Entertainment,,0,67
6621,US,False,True,False,Full-time,Mid-Senior level,Higher Education,HR and Consulting,General Business,0,86
6622,US,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,Engineering,0,93
6623,US,False,False,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Administrative,1,102
6624,US,False,True,True,Full-time,Not Applicable,,Construction,,0,81
6625,US,False,True,False,Full-time,Entry level,Higher Education,HR and Consulting,Design,0,182
6626,NZ,False,True,True,Full-time,Mid-Senior level,Highest Education,Advertising and marketing,Sales,1,153
6627,US,False,True,True,Full-time,Entry level,Normal education,Energy,,0,141
6628,US,False,True,False,,,,Manufacturing,,0,185
6629,US,False,True,True,,,,,,0,209
6630,US,False,True,True,Contract,Mid-Senior level,Higher Education,Fashion,Information Technology,0,45
6631,US,False,True,True,Full-time,,Higher Education,Computer and Technology,Engineering,0,24
6632,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,12
6633,AE,False,True,False,,,,Entertainment,,0,183
6634,GB,False,True,False,Full-time,,,,Marketing,0,48
6635,GR,False,True,False,,,,Fashion,,0,162
6636,DE,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,20
6637,US,False,True,True,Contract,Associate,Higher Education,Computer and Technology,Accounting/Auditing,0,163
6638,US,False,False,False,Full-time,,,,,0,32
6639,US,False,True,False,Full-time,Entry level,Normal education,Entertainment,Customer Service,0,86
6640,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Finance and Economic,Business Analyst,0,148
6641,GB,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,205
6642,US,False,True,False,,,,Manufacturing,,0,185
6643,US,False,True,False,,Not Applicable,Unspecified,Healthcare,Sales,0,122
6644,US,False,True,False,Full-time,,Higher Education,Hospitality,Sales,0,157
6645,,False,True,True,,,,,,0,48
6646,US,False,True,True,,Associate,,Energy,Human Resources,0,141
6647,GB,False,True,False,Full-time,,,,,0,118
6648,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Product Management,1,588
6649,US,False,True,False,Full-time,Mid-Senior level,Unspecified,Entertainment,Marketing,0,251
6650,US,False,True,True,Full-time,,,Fashion,Art/Creative,0,134
6651,US,False,True,False,Full-time,Entry level,Normal education,Hospitality,Customer Service,0,184
6652,US,False,True,False,Full-time,Associate,,Finance and Economic,,0,148
6653,US,False,True,False,Full-time,,,Fashion,,0,91
6654,US,False,True,True,Full-time,Director,Higher Education,Healthcare,Accounting/Auditing,0,87
6655,US,False,True,True,Full-time,Entry level,Normal education,Manufacturing,Sales,0,320
6656,CA,False,True,False,Full-time,Associate,Higher Education,Government and Legislation,Administrative,0,76
6657,US,False,True,True,Full-time,,Higher Education,Government and Legislation,Administrative,0,85
6658,GR,False,True,False,,,,,,0,81
6659,US,True,True,False,Full-time,Entry level,Unspecified,Non-Profit Organisation,Sales,0,40
6660,US,False,True,False,Full-time,Mid-Senior level,Higher Education,HR and Consulting,Purchasing,0,179
6661,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Sales,0,48
6662,US,False,True,True,Full-time,Mid-Senior level,,Finance and Economic,Finance,0,127
6663,US,False,True,False,Temporary,Internship,Normal education,Computer and Technology,Art/Creative,0,116
6664,GB,False,True,True,Full-time,Associate,Unspecified,Finance and Economic,Sales,0,105
6665,IE,False,True,False,,,,Computer and Technology,,0,155
6666,US,False,True,True,Full-time,Mid-Senior level,,Energy,Human Resources,0,141
6667,US,False,True,True,Full-time,Associate,,Energy,,0,141
6668,US,False,True,False,Other,Internship,Normal education,Advertising and marketing,Marketing,0,96
6669,US,False,True,True,,,,,,0,121
6670,US,False,True,True,Full-time,Entry level,,Finance and Economic,Administrative,0,155
6671,NZ,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Design,0,294
6672,US,False,True,False,Full-time,Not Applicable,Unspecified,Hospitality,Management,0,84
6673,US,False,False,False,Full-time,,,HR and Consulting,,0,32
6674,US,False,False,False,Full-time,,,Advertising and marketing,,0,32
6675,GR,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Engineering,0,124
6676,US,False,True,True,Full-time,Not Applicable,Normal education,Healthcare,Sales,0,159
6677,GB,False,True,True,Full-time,Associate,,Computer and Technology,Design,0,205
6678,US,False,False,False,Other,Entry level,,Computer and Technology,Customer Service,0,26
6679,US,False,True,False,Other,Internship,Normal education,Computer and Technology,Engineering,0,37
6680,US,False,True,True,Full-time,Entry level,Normal education,Government and Legislation,Public Relations,0,61
6681,US,False,False,False,Full-time,,,Computer and Technology,,0,32
6682,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Finance and Economic,Accounting/Auditing,0,68
6683,US,False,False,False,Full-time,,,Computer and Technology,,0,32
6684,US,False,True,True,,,,Computer and Technology,,0,158
6685,US,False,True,True,Full-time,Director,Higher Education,Healthcare,Customer Service,0,137
6686,US,False,True,False,Full-time,,,Construction,Sales,0,110
6687,GB,False,True,False,,,,,Marketing,0,34
6688,US,False,True,True,,,,,,0,48
6689,US,False,True,True,Full-time,Mid-Senior level,Unspecified,Computer and Technology,Engineering,0,280
6690,US,False,False,False,Full-time,,,Computer and Technology,,0,32
6691,US,False,True,True,Full-time,Associate,Higher Education,Finance and Economic,Accounting/Auditing,0,320
6692,GR,False,True,True,Full-time,,Higher Education,Computer and Technology,Project Management,0,49
6693,NZ,False,True,False,Full-time,,,Computer and Technology,,0,312
6694,US,False,True,True,,,,Manufacturing,,0,185
6695,US,False,True,True,Full-time,Associate,Certification,Construction,Business Development,0,57
6696,GB,False,True,False,Full-time,,,Fashion,,0,65
6697,US,False,True,True,Contract,Mid-Senior level,Highest Education,Computer and Technology,Information Technology,0,38
6698,US,False,True,True,Full-time,Mid-Senior level,Higher Education,HR and Consulting,Consulting,0,63
6699,US,False,True,True,Temporary,Mid-Senior level,Unspecified,Finance and Economic,Administrative,1,127
6700,ES,False,True,True,,Associate,,Computer and Technology,Information Technology,0,269
6701,US,False,True,True,Full-time,Mid-Senior level,Normal education,Construction,,0,144
6702,GB,False,True,False,,,,,,0,7
6703,US,False,True,True,Full-time,Entry level,Vocational,Construction,Information Technology,0,65
6704,US,False,True,True,Contract,,Higher Education,Education,,0,10
6705,GB,False,True,True,Full-time,Not Applicable,Normal education,,Administrative,0,131
6706,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
6707,US,False,True,True,Full-time,Entry level,,HR and Consulting,Administrative,0,158
6708,US,True,True,True,,,,,,0,182
6709,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Engineering,0,88
6710,US,False,True,False,Full-time,Entry level,Unspecified,Finance and Economic,Customer Service,0,148
